Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Ganhadores_Sena;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
594;01/09/2004;10;13;29;47;53;55;0;0,00;121;11747,70;6444;219,76;27956987,94;0,00;0,00
595;04/09/2004;1;2;25;43;50;54;0;0,00;89;22736,36;7230;278,82;31498176,46;0,00;0,00
596;08/09/2004;11;14;28;43;54;60;0;0,00;116;15749,68;6578;276,69;34695360,86;0,00;0,00
597;11/09/2004;22;27;29;40;42;56;0;0,00;140;21650,75;10021;301,33;39999792,49;0,00;0,00
598;15/09/2004;5;16;34;38;50;53;2;23179951,19;234;15531,40;19229;188,29;0,00;0,00;0,00
599;18/09/2004;4;6;9;23;45;51;0;0,00;65;10375,80;4755;141,31;15168219,08;0,00;0,00
600;22/09/2004;16;18;31;34;39;54;0;0,00;73;16062,92;4640;251,75;17220256,51;0,00;0,00
601;25/09/2004;10;19;22;29;30;37;0;0,00;75;18837,59;6002;234,50;19692689,90;0,00;0,00
602;29/09/2004;7;13;38;46;55;60;0;0,00;95;13988,93;6773;195,47;22018349,56;0,00;0,00
603;02/10/2004;4;8;11;12;29;44;1;24750883,61;233;6701,50;12565;123,80;0,00;0,00;0,00
604;06/10/2004;15;25;41;46;49;51;0;0,00;15;35679,23;1422;374,94;8450325,62;0,00;0,00
605;09/10/2004;4;24;44;49;52;53;0;0,00;45;23716,98;3980;267,15;10318037,87;0,00;0,00
606;13/10/2004;6;23;32;35;41;55;1;11878491,65;43;20736,93;3770;235,63;0,00;0,00;0,00
607;16/10/2004;6;11;19;27;41;59;0;0,00;48;13506,67;3059;211,14;1134560,21;0,00;0,00
608;20/10/2004;6;13;19;24;30;37;0;0,00;101;6267,54;5181;121,72;2242347,59;0,00;0,00
609;23/10/2004;2;6;15;58;59;60;0;0,00;60;13952,24;3994;208,81;8804117,70;0,00;0,00
610;27/10/2004;25;30;43;45;47;49;0;0,00;62;14911,12;4044;227,75;10421973,58;0,00;0,00
611;30/10/2004;16;21;22;33;48;49;0;0,00;69;16349,76;4531;248,04;12396207,89;0,00;0,00
612;03/11/2004;15;18;33;50;53;55;0;0,00;41;22250,05;3389;268,16;13992649,10;0,00;0,00
613;06/11/2004;6;13;19;44;54;55;0;0,00;108;12259,22;7101;185,76;16309642,40;0,00;0,00
614;10/11/2004;12;16;31;48;57;60;0;0,00;53;24951,84;4127;319,23;25638073,79;0,00;0,00
615;13/11/2004;5;8;10;27;31;51;0;0,00;157;11348,03;9780;181,48;28755943,65;0,00;0,00
616;17/11/2004;2;12;16;24;26;54;0;0,00;90;18187,52;9236;176,56;31620478,41;0,00;0,00
617;20/11/2004;3;5;25;33;36;49;2;17791387,59;289;7834,50;17341;130,08;0,00;0,00;0,00
618;24/11/2004;3;8;10;13;24;60;0;0,00;86;6312,56;4992;108,34;950038,98;0,00;0,00
619;27/11/2004;8;12;14;16;19;46;0;0,00;101;7354,06;5924;124,91;10960275,81;0,00;0,00
620;01/12/2004;1;3;13;22;29;32;0;0,00;87;11707,09;5886;172,39;12742680,43;0,00;0,00
621;04/12/2004;26;29;31;49;50;57;0;0,00;40;32904,81;3837;341,73;15046017,24;0,00;0,00
622;08/12/2004;19;27;29;38;50;59;0;0,00;49;24789,92;3560;339,92;17171752,86;0,00;0,00
623;11/12/2004;9;23;30;42;49;55;0;0,00;124;12236,03;6915;218,59;19826970,07;0,00;0,00
624;15/12/2004;8;23;34;39;43;52;1;22375180,08;108;13482,59;7284;199,16;0,00;0,00;0,00
625;18/12/2004;12;24;32;40;42;59;0;0,00;49;20777,72;4056;250,06;9935192,23;0,00;0,00
626;22/12/2004;7;8;18;22;39;49;0;0,00;52;21294,16;5096;216,47;11872960,59;0,00;0,00
627;29/12/2004;1;13;19;45;56;58;0;0,00;112;14270,18;8049;197,82;14669915,47;0,00;0,00
628;05/01/2005;8;16;22;30;56;58;1;17373966,13;76;20331,21;5510;279,37;0,00;0,00;0,00
629;08/01/2005;15;16;39;40;47;51;1;1104456,38;15;42074,53;1865;337,13;0,00;0,00;0,00
630;12/01/2005;12;16;20;45;53;60;0;0,00;33;24880,69;2972;275,23;8811801,94;0,00;0,00
631;15/01/2005;1;20;28;32;44;47;1;10579247,17;46;21955,84;3548;283,58;0,00;0,00;0,00
632;19/01/2005;2;19;28;48;51;54;0;0,00;26;19697,02;1962;260,03;896214,44;0,00;0,00
633;22/01/2005;5;11;22;27;46;50;0;0,00;58;11744,77;3524;192,57;2088308,43;0,00;0,00
634;26/01/2005;10;13;24;41;42;56;0;0,00;54;11854,27;3752;169,97;7789137,30;0,00;0,00
635;29/01/2005;8;20;26;37;42;49;0;0,00;58;16456,84;3646;260,80;9459506,58;0,00;0,00
636;02/02/2005;26;28;30;32;34;50;0;0,00;74;12762,47;3170;296,79;11112246,45;0,00;0,00
637;05/02/2005;11;18;43;48;52;58;0;0,00;29;38451,69;3560;312,04;13063669,53;0,00;0,00
638;12/02/2005;10;11;36;41;42;50;0;0,00;65;22677,35;4518;325,03;15643218,50;0,00;0,00
639;16/02/2005;13;35;39;45;51;60;0;0,00;72;17653,96;5473;231,37;25066531,77;0,00;0,00
640;19/02/2005;12;19;42;46;59;60;0;0,00;129;14012,81;8094;222,49;28229924,76;0,00;0,00
641;23/02/2005;1;9;13;17;33;34;1;31923289,19;366;5766,38;20840;100,89;0,00;0,00;0,00
642;26/02/2005;17;36;40;44;51;56;0;0,00;28;22758,80;1988;319,34;1115180,94;0,00;0,00
643;02/03/2005;14;24;37;40;42;45;0;0,00;41;15663,14;2694;237,48;2239011,24;0,00;0,00
644;05/03/2005;14;27;29;31;34;57;0;0,00;81;10667,36;4433;194,17;11328156,70;0,00;0,00
645;09/03/2005;3;24;48;52;53;54;0;0,00;39;27310,11;4345;244,20;13192071,41;0,00;0,00
646;12/03/2005;10;13;32;47;49;60;0;0,00;79;16079,41;6173;205,00;15415049,93;0,00;0,00
647;16/03/2005;11;12;14;19;54;56;1;17603353,15;50;25009,18;5432;229,34;0,00;0,00;0,00
648;19/03/2005;5;23;29;42;45;48;3;361199,61;139;4454,67;4869;126,69;0,00;0,00;0,00
649;23/03/2005;9;24;33;41;48;54;0;0,00;31;15748,23;2156;225,57;6720868,06;0,00;0,00
650;26/03/2005;10;24;25;29;53;59;0;0,00;29;24322,62;2765;254,15;7955241,21;0,00;0,00
651;30/03/2005;26;28;39;45;48;60;0;0,00;36;24882,92;4356;204,86;9522864,81;0,00;0,00
652;02/04/2005;10;18;20;24;56;57;0;0,00;41;27383,54;3874;288,71;11487633,94;0,00;0,00
653;06/04/2005;5;9;19;24;31;34;0;0,00;74;14994,32;6274;176,18;13429397,87;0,00;0,00
654;09/04/2005;6;10;11;40;41;56;1;15767596,35;66;20244,14;4745;280,52;0,00;0,00;0,00
655;13/04/2005;1;26;37;39;43;48;0;0,00;23;33457,53;2722;281,64;7808614,22;0,00;0,00
656;16/04/2005;35;36;37;46;51;59;0;0,00;24;42026,73;2623;383,08;9573736,75;0,00;0,00
657;20/04/2005;16;20;33;58;59;60;1;11354235,39;56;18168,36;3995;253,72;0,00;0,00;0,00
658;23/04/2005;3;6;11;20;36;41;0;0,00;31;18418,26;2883;197,30;999190,32;0,00;0,00
659;27/04/2005;14;29;34;40;51;52;0;0,00;22;27222,16;1390;429,22;7004050,46;0,00;0,00
660;30/04/2005;5;11;38;46;53;54;0;0,00;58;16751,00;4204;230,23;8704277,05;0,00;0,00
661;04/05/2005;4;27;36;40;42;55;0;0,00;64;15130,77;4211;229,09;10398923,36;0,00;0,00
662;07/05/2005;4;18;23;25;56;60;0;0,00;79;14974,99;5525;213,31;12469215,44;0,00;0,00
663;11/05/2005;1;27;30;49;51;55;0;0,00;64;17649,82;4020;279,93;14445995,20;0,00;0,00
664;14/05/2005;1;12;36;38;55;59;0;0,00;74;18450,77;4971;273,62;23857740,39;0,00;0,00
665;18/05/2005;7;8;18;25;47;48;0;0,00;185;8538,56;10055;156,51;26622098,55;0,00;0,00
666;21/05/2005;7;16;26;29;45;55;0;0,00;77;26923,37;8122;254,29;30250022,18;0,00;0,00
667;25/05/2005;1;4;5;16;23;49;1;34263173,55;203;11296,70;15283;149,48;0,00;0,00;0,00
668;28/05/2005;1;2;14;33;49;56;0;0,00;53;11007,74;2814;206,54;1020967,19;0,00;0,00
669;01/06/2005;7;24;27;40;41;49;1;2170216,15;32;20522,30;2427;269,57;0,00;0,00;0,00
670;04/06/2005;22;37;42;48;58;59;0;0,00;24;43085,53;2895;355,84;10792198,93;0,00;0,00
671;08/06/2005;9;16;27;38;39;51;0;0,00;67;16609,70;4259;260,30;12739685,49;0,00;0,00
672;11/06/2005;24;28;34;38;43;53;0;0,00;54;24277,19;4411;296,08;15033880,01;0,00;0,00
673;15/06/2005;6;11;20;34;37;40;0;0,00;72;17523,73;4792;262,30;17241869,86;0,00;0,00
674;18/06/2005;18;22;29;32;38;42;0;0,00;96;16070,11;5586;275,14;27769536,63;0,00;0,00
675;22/06/2005;24;25;30;42;43;50;0;0,00;67;26180,70;5204;335,79;30839224,48;0,00;0,00
676;25/06/2005;9;15;32;41;42;49;0;0,00;94;22081,78;7583;272,69;34471676,39;0,00;0,00
677;29/06/2005;8;10;25;32;48;55;0;0,00;284;8422,82;12803;186,14;38657818,81;0,00;0,00
678;02/07/2005;14;31;40;42;44;46;0;0,00;115;28311,43;9797;331,07;44355495,36;0,00;0,00
679;06/07/2005;3;21;25;37;54;58;1;51890452,61;448;9610,91;22087;194,20;0,00;0,00;0,00
680;09/07/2005;2;3;5;22;26;44;0;0,00;188;7276,69;11222;121,45;19623257,97;0,00;0,00
681;13/07/2005;21;25;38;53;58;59;0;0,00;62;23695,09;5210;280,91;22194175,20;0,00;0,00
682;16/07/2005;4;27;36;37;47;60;0;0,00;62;25832,17;5647;282,55;24996965,62;0,00;0,00
683;20/07/2005;2;11;12;35;40;43;0;0,00;79;19666,04;5680;272,49;27715795,78;0,00;0,00
684;23/07/2005;17;19;33;37;40;50;0;0,00;81;22483,66;7103;255,42;40669733,33;0,00;0,00
685;27/07/2005;5;12;27;33;43;56;1;44331219,78;347;6029,62;15404;135,32;0,00;0,00;0,00
686;30/07/2005;4;5;15;26;33;54;0;0,00;47;15221,72;3901;182,71;1251986,54;0,00;0,00
687;03/08/2005;1;7;14;41;48;59;0;0,00;28;25839,62;2887;249,66;2518128,16;0,00;0,00
688;06/08/2005;11;21;30;35;47;52;0;0,00;38;23920,89;2757;328,45;4108867,61;0,00;0,00
689;10/08/2005;6;7;31;49;51;60;0;0,00;29;30336,11;2998;292,33;12298361,58;0,00;0,00
690;13/08/2005;8;12;15;41;47;53;0;0,00;90;13225,50;5446;217,74;14381378,18;0,00;0,00
691;17/08/2005;8;16;37;50;55;58;0;0,00;54;20629,58;3896;284,85;16330873,12;0,00;0,00
692;20/08/2005;11;18;33;57;58;60;0;0,00;71;18365,13;4995;260,06;18612740,26;0,00;0,00
693;24/08/2005;13;14;17;31;41;50;0;0,00;152;8909,82;7170;188,18;20982752,64;0,00;0,00
694;27/08/2005;15;19;29;37;41;53;0;0,00;114;13859,26;7087;222,10;31925755,05;0,00;0,00
695;31/08/2005;6;11;13;21;40;52;0;0,00;76;22217,91;6333;265,62;34880737,54;0,00;0,00
696;03/09/2005;9;16;34;37;53;57;2;19251302,49;195;10613,53;10814;190,66;0,00;0,00;0,00
697;10/09/2005;28;31;32;35;51;53;0;0,00;27;33337,57;2895;309,74;1575200,44;0,00;0,00
698;14/09/2005;8;12;22;27;43;55;0;0,00;43;16354,69;3981;175,99;2805890,89;0,00;0,00
699;19/09/2005;17;23;48;50;53;54;0;0,00;54;16259,09;3752;233,13;12141821,41;0,00;0,00
700;21/09/2005;2;3;14;24;31;40;0;0,00;53;17991,31;3584;265,04;13810515,56;0,00;0,00
701;24/09/2005;1;13;23;31;48;60;0;0,00;103;11253,13;5623;205,35;15838891,81;0,00;0,00
702;28/09/2005;1;18;45;56;57;58;0;0,00;47;22868,49;3663;292,31;17719825,24;0,00;0,00
703;01/10/2005;2;11;24;27;30;45;0;0,00;123;10767,16;7343;179,68;20037455,42;0,00;0,00
704;05/10/2005;2;4;18;27;34;50;0;0,00;56;22659,95;5784;218,56;29484065,62;0,00;0,00
705;08/10/2005;3;11;13;15;26;43;0;0,00;144;11780,58;11514;146,78;32452771,10;0,00;0,00
706;15/10/2005;2;7;10;17;22;60;0;0,00;282;7866,56;15980;138,30;36334914,54;0,00;0,00
707;19/10/2005;1;8;10;36;43;51;2;19919975,72;140;14306,28;12461;160,12;0,00;0,00;0,00
708;22/10/2005;7;9;13;39;45;47;0;0,00;102;6567,35;5998;111,26;1172271,79;0,00;0,00
709;26/10/2005;4;6;9;22;29;44;0;0,00;106;5881,47;5202;119,39;11276978,00;0,00;0,00
710;29/10/2005;5;25;34;39;46;49;0;0,00;48;21483,28;4608;222,94;13081573,14;0,00;0,00
711;05/11/2005;5;10;33;40;41;59;0;0,00;79;18118,11;5840;244,16;15586402,01;0,00;0,00
712;09/11/2005;7;8;35;43;53;58;0;0,00;97;12122,15;5637;207,81;17644136,19;0,00;0,00
713;12/11/2005;1;12;16;26;46;54;0;0,00;67;20438,81;5838;233,68;20040586,54;0,00;0,00
714;16/11/2005;7;8;17;35;39;53;0;0,00;113;9766,45;10955;100,36;29611134,96;0,00;0,00
715;19/11/2005;4;12;24;33;36;54;3;10825809,33;237;6910,89;13134;124,24;0,00;0,00;0,00
716;23/11/2005;2;7;16;29;32;50;1;945382,75;37;14600,51;2512;214,25;0,00;0,00;0,00
717;26/11/2005;6;17;23;28;35;41;0;0,00;68;8956,76;3816;159,00;1065855,06;0,00;0,00
718;30/11/2005;7;21;33;35;39;58;0;0,00;41;13759,23;2893;194,26;2053079,87;0,00;0,00
719;03/12/2005;3;32;37;39;47;53;0;0,00;63;12737,00;3553;225,00;8649484,79;0,00;0,00
720;07/12/2005;12;31;44;51;54;56;0;0,00;20;45658,99;2606;349,09;10247549,36;0,00;0,00
721;10/12/2005;3;14;23;25;36;55;0;0,00;99;11025,33;6723;161,75;12157688,32;0,00;0,00
722;14/12/2005;9;18;36;44;57;60;0;0,00;85;12704,05;5334;201,68;14047415,26;0,00;0,00
723;17/12/2005;1;6;16;36;50;52;0;0,00;49;25242,04;4000;308,05;16211920,28;0,00;0,00
724;21/12/2005;17;27;34;48;51;55;0;0,00;102;12537,87;6190;205,82;25450246,43;0,00;0,00
725;31/12/2005;3;9;35;37;41;49;2;15815987,63;343;10298,59;20451;172,08;0,00;0,00;0,00
726;04/01/2006;1;5;7;37;40;47;0;0,00;35;15459,49;2838;189,94;946893,69;0,00;0,00
727;07/01/2006;4;12;14;30;42;59;0;0,00;29;25008,46;2688;268,79;2216072,86;0,00;0,00
728;11/01/2006;8;13;24;32;42;44;0;0,00;81;8575,31;5381;128,59;3431622,25;0,00;0,00
729;14/01/2006;5;18;33;43;56;57;1;4969519,90;51;17231,34;5041;173,67;0,00;0,00;0,00
730;18/01/2006;2;15;16;45;50;54;0;0,00;34;23412,97;2824;280,82;9358249,67;0,00;0,00
731;21/01/2006;6;15;16;23;28;35;0;0,00;88;11554,63;6659;152,12;11137662,34;0,00;0,00
732;25/01/2006;6;17;19;49;50;53;0;0,00;65;14610,54;4196;225,48;12799611,64;0,00;0,00
733;28/01/2006;2;12;26;31;43;46;0;0,00;67;16737,98;5110;218,63;14762139,60;0,00;0,00
734;01/02/2006;27;29;43;44;45;54;1;16726569,98;58;19354,00;3984;280,69;0,00;0,00;0,00
735;04/02/2006;9;15;38;40;42;52;0;0,00;33;27163,91;3043;293,47;7826853,28;0,00;0,00
736;08/02/2006;1;21;38;41;49;56;0;0,00;19;47835,60;2190;413,44;9417386,79;0,00;0,00
737;11/02/2006;11;12;24;32;33;38;0;0,00;65;18730,63;6267;193,54;11547995,59;0,00;0,00
738;15/02/2006;14;15;26;30;42;54;0;0,00;47;26720,69;4178;299,45;13745772,39;0,00;0,00
739;18/02/2006;6;10;35;45;49;56;0;0,00;54;25993,77;4723;296,08;23305073,75;0,00;0,00
740;22/02/2006;12;16;28;29;47;50;1;26132814,65;90;17953,91;6943;231,85;0,00;0,00;0,00
741;25/02/2006;24;26;27;36;39;59;0;0,00;23;28453,38;2133;305,65;1145248,54;0,00;0,00
742;01/03/2006;2;7;17;34;41;50;0;0,00;25;14199,00;1622;218,02;1766454,86;0,00;0,00
743;04/03/2006;20;23;25;32;54;60;0;0,00;28;29491,22;2762;297,84;3211524,66;0,00;0,00
744;08/03/2006;4;12;23;26;39;46;0;0,00;77;10441,97;5387;148,70;9937380,49;0,00;0,00
745;11/03/2006;2;16;21;37;43;57;0;0,00;134;8604,62;5262;218,30;11955163,21;0,00;0,00
746;15/03/2006;1;10;12;25;49;57;2;6995681,58;114;10206,52;6686;173,36;0,00;0,00;0,00
747;18/03/2006;2;3;12;21;23;56;0;0,00;53;13079,29;4363;158,28;1213104,40;0,00;0,00
748;22/03/2006;1;2;7;19;35;51;0;0,00;74;9080,42;4519;148,14;2389018,77;0,00;0,00
749;25/03/2006;4;24;47;48;50;57;0;0,00;31;26214,36;2669;303,33;9429097,84;0,00;0,00
750;29/03/2006;10;17;33;42;54;58;0;0,00;49;18795,69;3799;241,51;11040828,28;0,00;0,00
751;01/04/2006;4;7;20;25;38;50;0;0,00;74;15221,68;5579;201,14;13012035,71;15000000,00;0,00
752;05/04/2006;4;23;24;25;29;42;0;0,00;86;13022,30;6849;162,90;14971892,19;0,00;0,00
753;08/04/2006;2;7;22;35;43;59;1;17388228,32;152;9083,97;8630;159,40;0,00;0,00;0,00
754;12/04/2006;3;4;13;34;42;50;0;0,00;41;14457,22;2827;208,89;7463330,98;0,00;0,00
755;15/04/2006;4;12;30;47;49;59;0;0,00;41;18319,33;2977;251,35;8777742,92;0,00;0,00
756;19/04/2006;5;27;37;38;41;50;0;0,00;34;27503,13;3135;297,15;10414179,09;0,00;0,00
757;22/04/2006;12;17;18;30;32;58;0;0,00;53;17988,72;3448;275,46;12082632,69;0,00;0,00
758;26/04/2006;1;23;36;43;47;59;0;0,00;74;14352,34;4910;215,49;13941260,58;0,00;0,00
759;29/04/2006;30;31;39;45;48;59;0;0,00;38;32431,50;2588;474,40;22265544,19;0,00;0,00
760;03/05/2006;12;17;44;45;46;60;0;0,00;80;16005,08;5517;231,20;24506255,18;0,00;0,00
761;06/05/2006;13;17;27;29;40;56;0;0,00;100;17175,97;8936;191,48;27512048,76;0,00;0,00
762;10/05/2006;9;12;21;37;39;54;0;0,00;143;13668,11;10120;192,40;30932491,92;0,00;0,00
763;13/05/2006;1;9;26;40;47;48;0;0,00;101;23502,31;7655;308,92;35086525,19;0,00;0,00
764;18/05/2006;3;7;45;47;53;55;1;40539530,90;189;16486,79;15290;203,03;0,00;0,00;0,00
765;21/05/2006;3;10;16;30;37;50;0;0,00;62;15552,09;4336;221,54;14740248,65;0,00;0,00
766;24/05/2006;1;19;24;42;50;58;0;0,00;63;16857,33;4477;236,31;16598769,93;0,00;0,00
767;27/05/2006;15;22;32;38;50;54;0;0,00;62;20318,55;4419;284,00;18803331,88;0,00;0,00
768;31/05/2006;4;8;30;33;37;59;1;21024430,31;93;13647,30;6408;197,31;0,00;0,00;0,00
769;03/06/2006;12;16;20;21;29;50;0;0,00;49;14382,06;3078;228,08;7808149,60;0,00;0,00
770;07/06/2006;4;12;25;34;35;48;0;0,00;68;13703,65;5401;171,88;9438882,88;0,00;0,00
771;10/06/2006;14;21;29;34;46;47;0;0,00;69;15089,83;4559;227,53;11260979,64;0,00;0,00
772;14/06/2006;10;35;38;51;52;60;0;0,00;66;13476,30;5330;166,25;12817492,36;15000000,00;0,00
773;17/06/2006;3;5;14;29;34;51;0;0,00;58;16454,70;4919;193,29;14487644,71;0,00;0,00
774;21/06/2006;5;10;37;46;54;58;1;16319071,08;64;16352,03;4336;240,45;0,00;0,00;0,00
775;24/06/2006;12;27;42;46;47;50;0;0,00;30;25559,59;3058;249,80;7421108,15;0,00;0,00
776;28/06/2006;3;15;35;41;57;60;0;0,00;56;13543,61;3075;245,72;8748382,29;0,00;0,00
777;01/07/2006;2;14;23;28;50;56;0;0,00;80;10746,73;3943;217,22;10252923,38;12000000,00;0,00
778;05/07/2006;20;31;36;37;45;51;0;0,00;21;42785,84;1890;473,60;11825302,87;0,00;0,00
779;08/07/2006;25;26;29;36;52;54;0;0,00;26;39580,32;3127;327,85;19016906,07;0,00;0,00
780;12/07/2006;7;10;28;50;51;59;0;0,00;43;26754,56;3828;299,40;21030186,72;0,00;0,00
781;15/07/2006;8;10;13;39;54;56;0;0,00;66;19809,51;5707;228,22;23318185,27;0,00;0,00
782;19/07/2006;2;11;23;35;42;59;0;0,00;144;9270,41;7533;176,55;25654326,84;0,00;0,00
783;22/07/2006;4;8;21;32;43;48;1;28244624,32;140;10572,64;8427;174,99;0,00;0,00;0,00
784;26/07/2006;8;27;37;42;53;56;0;0,00;27;20363,80;2163;253,24;8240695,17;0,00;0,00
785;29/07/2006;5;8;17;35;37;48;1;9770979,43;126;6940,06;6657;130,87;0,00;0,00;0,00
786;02/08/2006;10;11;26;27;31;41;0;0,00;19;25700,08;1521;319,83;854527,84;0,00;0,00
787;05/08/2006;20;31;34;37;54;60;0;0,00;40;16922,47;1955;344,93;2039100,64;0,00;0,00
788;09/08/2006;17;19;29;31;44;57;0;0,00;62;10763,88;3247;204,75;3206981,50;0,00;0,00
789;12/08/2006;6;31;38;39;50;60;0;0,00;13;62482,48;1808;447,56;9027559,48;0,00;0,00
790;16/08/2006;2;6;19;22;28;43;0;0,00;71;11717,34;5884;140,86;10483439,10;0,00;0,00
791;19/08/2006;9;14;19;35;42;58;1;12212213,94;114;8665,54;5756;170,97;0,00;0,00;0,00
792;23/08/2006;9;29;34;43;45;56;0;0,00;32;15844,65;1949;259,17;887300,41;0,00;0,00
793;26/08/2006;3;15;16;33;51;57;0;0,00;62;10387,12;3629;176,79;2014302,06;0,00;0,00
794;30/08/2006;3;38;42;47;55;56;0;0,00;15;37006,71;1730;319,66;7393144,45;0,00;0,00
795;02/09/2006;14;21;26;29;36;48;0;0,00;76;11029,20;4389;190,27;8860028,16;0,00;0,00
796;06/09/2006;5;19;24;34;39;43;0;0,00;80;9974,90;4883;162,81;10256514,12;0,00;0,00
797;09/09/2006;6;12;47;48;52;58;0;0,00;66;12566,42;3447;239,70;11707935,01;0,00;0,00
798;13/09/2006;3;4;9;29;32;52;0;0,00;48;19610,77;4104;228,50;13355239,88;0,00;0,00
799;16/09/2006;19;29;35;42;55;57;0;0,00;56;19330,65;4675;230,69;20861429,08;0,00;0,00
800;20/09/2006;1;7;11;37;38;56;0;0,00;44;26411,64;4497;257,44;22895125,15;0,00;0,00
801;23/09/2006;11;19;20;22;42;48;0;0,00;73;19406,93;5791;243,72;25374360,34;0,00;0,00
802;27/09/2006;6;14;18;24;48;60;0;0,00;117;12287,80;8216;174,32;27890287,63;0,00;0,00
803;30/09/2006;3;5;10;21;28;57;0;0,00;193;8993,04;12055;143,44;30927687,90;0,00;0,00
804;04/10/2006;3;13;37;47;56;59;1;34172202,25;134;13835,88;9937;185,88;0,00;0,00;0,00
805;07/10/2006;2;30;36;43;48;60;0;0,00;62;14428,43;3489;255,42;11073179,39;0,00;0,00
806;12/10/2006;18;26;35;41;47;60;0;0,00;50;18518,81;3179;290,17;12693574,74;0,00;0,00
807;14/10/2006;2;8;27;32;49;56;0;0,00;130;7262,48;6188;152,01;14345789,99;0,00;0,00
808;18/10/2006;2;15;21;31;46;57;0;0,00;44;24446,08;3844;278,76;16228138,27;0,00;0,00
809;21/10/2006;5;11;15;23;25;30;0;0,00;121;8582,38;7669;134,90;24143857,18;0,00;0,00
810;25/10/2006;1;4;5;33;37;48;0;0,00;75;17505,65;6450;202,79;26441472,82;30000000,00;0,00
811;28/10/2006;10;28;32;41;47;57;2;14597902,39;89;17684,31;5508;284,67;0,00;0,00;0,00
812;01/11/2006;11;13;38;39;54;57;0;0,00;57;9696,24;2116;260,21;967199,74;0,00;0,00
813;04/11/2006;9;15;23;45;46;56;0;0,00;43;14647,97;3244;193,43;2069459,59;0,00;0,00
814;08/11/2006;2;8;11;41;46;50;0;0,00;37;18442,44;2534;268,27;9203290,18;0,00;0,00
815;11/11/2006;9;19;37;39;50;57;0;0,00;56;17528,89;3621;270,06;10921121,58;0,00;0,00
816;16/11/2006;20;21;30;40;47;52;0;0,00;21;39708,11;1885;440,69;12380394,81;0,00;0,00
817;18/11/2006;10;29;30;34;43;52;0;0,00;27;34364,35;2469;374,37;14004110,17;16000000,00;0,00
818;22/11/2006;8;9;22;25;41;44;0;0,00;58;16865,13;4935;197,47;15715920,16;0,00;0,00
819;25/11/2006;5;19;25;46;51;58;0;0,00;105;11132,90;5868;198,46;23874662,70;0,00;0,00
820;29/11/2006;10;17;21;32;45;46;2;13046320,38;82;15456,29;5102;247,47;0,00;0,00;0,00
821;02/12/2006;4;29;33;36;38;42;0;0,00;37;17462,93;3307;194,64;1130724,80;0,00;0,00
822;06/12/2006;4;10;17;27;41;52;0;0,00;31;19931,52;2585;238,13;2212009,51;0,00;0,00
823;09/12/2006;1;15;26;51;54;59;0;0,00;22;35180,77;2144;359,62;3566468,83;0,00;0,00
824;13/12/2006;6;7;9;20;33;48;0;0,00;53;14753,39;5002;155,73;10044004,79;0,00;0,00
825;16/12/2006;10;21;28;40;41;47;0;0,00;52;19453,75;4148;242,96;11814295,88;0,00;0,00
826;19/12/2006;6;7;8;27;45;53;0;0,00;68;9188,18;3571;174,30;12907689,09;0,00;0,00
827;21/12/2006;18;24;30;42;51;56;0;0,00;47;21021,73;4106;239,72;14636725,67;0,00;0,00
828;23/12/2006;23;28;38;42;50;53;0;0,00;29;40114,62;3478;333,21;16672542,56;0,00;0,00
829;31/12/2006;10;14;32;47;50;56;0;0,00;162;18311,20;10814;273,27;30306455,18;0,00;0,00
830;03/01/2007;2;13;41;49;51;53;0;0,00;94;24135,05;7705;293,34;34276670,77;0,00;0,00
831;06/01/2007;3;32;33;42;48;50;0;0,00;117;31716,10;12045;306,90;40770541,92;0,00;0,00
832;10/01/2007;15;17;23;33;39;49;1;52807317,17;510;13486,58;37086;184,77;0,00;0,00;0,00
833;13/01/2007;13;16;46;53;57;58;0;0,00;40;19408,81;2678;288,80;1358616,66;0,00;0,00
834;17/01/2007;10;16;17;34;44;51;1;2820323,56;42;19887,17;3073;270,78;0,00;0,00;0,00
835;20/01/2007;18;31;33;49;57;58;0;0,00;40;28893,86;4078;282,34;20109130,83;0,00;0,00
836;24/01/2007;17;22;28;38;52;59;0;0,00;64;20981,59;4859;275,31;22459069,62;0,00;0,00
837;27/01/2007;5;6;16;24;34;60;1;25067473,09;73;20418,03;6233;238,23;0,00;0,00;0,00
838;31/01/2007;9;23;30;38;44;47;0;0,00;41;16256,65;2825;235,05;1166414,58;0,00;0,00
839;03/02/2007;7;8;11;18;37;43;0;0,00;77;11092,88;5314;160,13;9548388,11;0,00;0,00
840;07/02/2007;17;29;31;35;43;59;0;0,00;94;11603,23;5512;197,13;11457118,69;0,00;0,00
841;10/02/2007;7;22;32;36;38;51;0;0,00;67;18656,13;5162;241,23;13644549,97;0,00;0,00
842;14/02/2007;7;9;30;44;51;60;0;0,00;58;21165,39;4700;260,20;15792837,51;0,00;0,00
843;17/02/2007;1;16;34;36;45;48;0;0,00;68;19914,21;5642;239,10;18162628,75;0,00;0,00
844;24/02/2007;16;24;34;44;54;57;0;0,00;91;18846,39;7679;222,50;29460722,37;0,00;0,00
